[2026-09-25T19:26:11.691Z] GET http://127.0.0.1:8787/index.html → 404 (8ms, 460B)
[2026-09-25T19:26:11.962Z] GET http://127.0.0.1:8787/index.html → 404 (?ms, 460B)
[2026-09-25T19:26:37.683Z] GET http://127.0.0.1:8787/index.html → 200 (1ms, 16307B)
[2026-09-25T19:26:37.688Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@500;600;700&family=DM+Sans:wght@400;500;600;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (111ms, ?B)
[2026-09-25T19:26:37.688Z] GET http://127.0.0.1:8787/style.css → 200 (6ms, 33566B)
[2026-09-25T19:26:37.688Z] GET http://127.0.0.1:8787/script.js → 200 (6ms, 4878B)
[2026-09-25T19:26:37.811Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → pending (?ms, ?B)
[2026-09-25T19:26:37.811Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → pending (?ms, ?B)
[2026-09-25T19:26:37.811Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → pending (?ms, ?B)
[2026-09-25T19:26:37.811Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → pending (?ms, ?B)
[2026-09-25T19:26:37.812Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4-Lwz3bWuYMBYro.woff2 → pending (?ms, ?B)
[2026-09-25T19:26:38.573Z] GET http://127.0.0.1:8787/event-01.html → 200 (1ms, 5869B)
[2026-09-25T19:26:38.575Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@500;600;700&family=DM+Sans:wght@400;500;600;700&family=IBM+Plex+Mono:wght@400;500&display=swap → 200 (?ms, 11497B)
[2026-09-25T19:26:38.576Z] GET http://127.0.0.1:8787/style.css → 200 (?ms, 33566B)
[2026-09-25T19:26:38.576Z] GET http://127.0.0.1:8787/script.js → 200 (?ms, 4878B)
[2026-09-25T19:26:38.577Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4-Lwz3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:38.577Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B4873z3bWuYMBYro.woff2 → 200 (?ms, ?B)
[2026-09-25T19:26:38.577Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Yp2ywxg089UriI5-g4vlH9VoD8Cmcqbu0-K6z9mXg.woff2 → 200 (?ms, ?B)
